time,frequency,confidence
0.000,199.575,0.448379
0.010,199.182,0.651120
0.020,199.825,0.749301
0.030,200.331,0.736544
0.040,200.335,0.721633
0.050,200.335,0.721641
0.060,200.335,0.721627
0.070,200.335,0.721617
0.080,200.336,0.721611
0.090,200.331,0.722096
0.100,200.325,0.725909
0.110,200.248,0.737663
0.120,200.213,0.753177
0.130,200.133,0.759938
0.140,200.214,0.751728
0.150,200.477,0.701405
0.160,199.322,0.469647
0.170,196.413,0.166452
0.180,184.675,0.243376
0.190,182.981,0.257456
0.200,1031.678,0.115614
0.210,535.894,0.064418
0.220,540.043,0.158072
0.230,555.439,0.310268
0.240,552.003,0.265583
0.250,550.730,0.213375
0.260,546.289,0.119350
0.270,547.640,0.152761
0.280,548.273,0.170626
0.290,547.956,0.109066
0.300,547.332,0.080282
0.310,547.695,0.136116
0.320,547.403,0.135945
0.330,549.698,0.144284
0.340,552.150,0.029536
0.350,202.867,0.051505
0.360,199.481,0.210762
0.370,200.754,0.570145
0.380,200.262,0.743379
0.390,200.758,0.693864
0.400,199.322,0.469647
0.410,196.413,0.166452
0.420,184.675,0.243376
0.430,182.981,0.257456
0.440,1031.678,0.115614
0.450,535.894,0.064418
0.460,540.043,0.158072
0.470,555.439,0.310268
0.480,552.003,0.265583
0.490,550.730,0.213375
0.500,546.289,0.119350
0.510,547.640,0.152761
0.520,548.273,0.170626
0.530,547.956,0.109066
0.540,547.332,0.080282
0.550,547.695,0.136116
0.560,547.403,0.135945
0.570,549.697,0.144263
0.580,552.149,0.029581
0.590,202.868,0.051433
0.600,199.481,0.210363
0.610,200.754,0.569869
0.620,200.262,0.743319
0.630,200.679,0.702771
0.640,199.552,0.440848
0.650,49.103,0.208470
0.660,190.351,0.134910
0.670,183.811,0.086953
0.680,82.902,0.133434
0.690,584.411,0.103711
0.700,552.149,0.029581
0.710,202.868,0.051433
0.720,199.481,0.210363
0.730,200.754,0.569869
0.740,200.262,0.743319
0.750,200.679,0.702771
0.760,199.552,0.440848
0.770,49.103,0.208470
0.780,190.351,0.134910
0.790,183.811,0.086953
0.800,82.902,0.133434
0.810,584.411,0.103732
0.820,552.150,0.029536
0.830,202.867,0.051505
0.840,199.481,0.210762
0.850,200.754,0.570145
0.860,200.262,0.743379
0.870,200.758,0.693864
0.880,199.322,0.469647
0.890,196.413,0.166452
0.900,184.675,0.243376
0.910,182.981,0.257456
0.920,1031.678,0.115614
0.930,535.894,0.064418
0.940,540.043,0.158072
0.950,555.439,0.310268
0.960,552.003,0.265583
0.970,550.730,0.213375
0.980,546.289,0.119350
0.990,547.648,0.152910
1.000,548.297,0.170733
1.010,547.968,0.107438
1.020,547.343,0.078342
1.030,547.709,0.134149
1.040,547.414,0.133806
1.050,549.636,0.143843
1.060,552.045,0.031017
1.070,202.990,0.031280
1.080,199.594,0.079300
1.090,200.865,0.359615
1.100,200.683,0.688381
1.110,200.514,0.741830
1.120,200.335,0.721633
1.130,200.335,0.721641
1.140,200.335,0.721627
1.150,200.335,0.721617
1.160,200.336,0.721626
1.170,200.330,0.722333
1.180,200.321,0.726363
1.190,200.247,0.737033
1.200,200.213,0.748588
1.210,200.133,0.753975
1.220,200.158,0.754996
1.230,200.066,0.752081
1.240,199.991,0.586136
1.250,204.088,0.371619
1.260,202.946,0.244106
1.270,183.859,0.120125
1.280,241.696,0.061914
1.290,657.841,0.054925
1.300,656.559,0.074465
1.310,646.787,0.068331
